"betweenness","colMeans..t..","degree","eigen","id","membership","name","Node_Category","selected","shared name"
"2345.725","0.06609781","23.0","1.14737E-7","ASV0001","3.0","ASV0001","Core","false","ASV0001"
"7674.032","0.06490515","14.0","1.192167E-8","ASV0002","3.0","ASV0002","Shared","false","ASV0002"
"2468.069","0.05041578","24.0","1.148728E-7","ASV0003","3.0","ASV0003","Core","false","ASV0003"
"7674.032","0.05046684","14.0","1.192167E-8","ASV0004","3.0","ASV0004","Shared","false","ASV0004"
"9024.986","0.04761714","15.0","1.694191E-8","ASV0005","3.0","ASV0005","Shared","false","ASV0005"
"2468.069","0.04680653","24.0","1.148728E-7","ASV0006","3.0","ASV0006","Core","false","ASV0006"
"1493.337","0.03071465","12.0","1.309588E-8","ASV0007","3.0","ASV0007","Shared","false","ASV0007"
"1100.7","0.03041561","22.0","8.843196E-8","ASV0008","3.0","ASV0008","Core","false","ASV0008"
"0.0","0.02486064","2.0","4.246428E-18","ASV0009","38.0","ASV0009","Shared","false","ASV0009"
"0.0","0.01926618","2.0","2.314221E-18","ASV0010","38.0","ASV0010","Shared","false","ASV0010"
"0.0","0.01807205","2.0","2.375906E-18","ASV0011","38.0","ASV0011","Shared","false","ASV0011"
"0.0","0.011476","5.0","2.576028E-7","ASV0012","11.0","ASV0012","Shared","false","ASV0012"
"14631.89","0.009145678","32.0","5.164996E-8","ASV0013","3.0","ASV0013","Core","false","ASV0013"
"0.0","0.008626422","5.0","2.576028E-7","ASV0014","11.0","ASV0014","Shared","false","ASV0014"
"0.0","0.008268811","5.0","2.576028E-7","ASV0015","11.0","ASV0015","Shared","false","ASV0015"
"15057.34","0.006981123","33.0","5.215463E-8","ASV0016","3.0","ASV0016","Core","false","ASV0016"
"13803.03","0.006621824","32.0","5.199739E-8","ASV0017","3.0","ASV0017","Core","false","ASV0017"
"27568.0","0.006286546","10.0","2.196091E-5","ASV0019","11.0","ASV0019","Shared","false","ASV0019"
"16174.13","0.006071126","20.0","1.642921E-7","ASV0020","3.0","ASV0020","Other","false","ASV0020"
"10.09333","0.004755661","15.0","1.562193E-8","ASV0021","3.0","ASV0021","Core","false","ASV0021"
"13.06308","0.004902145","4.0","4.452384E-10","ASV0022","3.0","ASV0022","Shared","false","ASV0022"
"36936.45","0.004206359","45.0","1.896087E-7","ASV0023","3.0","ASV0023","Core","false","ASV0023"
"8.0","0.004788635","8.0","2.661608E-7","ASV0024","11.0","ASV0024","Shared","false","ASV0024"
"0.0","0.004014168","2.0","3.939048E-18","ASV0025","39.0","ASV0025","Core","false","ASV0025"
"8.0","0.004477907","8.0","2.661608E-7","ASV0026","11.0","ASV0026","Shared","false","ASV0026"
"71.66519","0.004242088","2.0","2.828366E-9","ASV0027","3.0","ASV0027","Other","false","ASV0027"
"9778.409","0.004613127","19.0","1.051864E-7","ASV0028","3.0","ASV0028","Other","false","ASV0028"
"22.78299","0.00362584","18.0","1.734698E-8","ASV0029","3.0","ASV0029","Core","false","ASV0029"
"5376.449","0.004039613","21.0","1.923978E-8","ASV0030","3.0","ASV0030","Core","false","ASV0030"
"0.0","0.003319681","3.0","3.239049E-9","ASV0031","22.0","ASV0031","Other","false","ASV0031"
"0.0","0.0037459","2.0","3.513328E-11","ASV0032","26.0","ASV0032","Core","false","ASV0032"
"5084.513","0.004263877","14.0","1.053233E-7","ASV0033","3.0","ASV0033","Other","false","ASV0033"
"6.664753","0.003372543","12.0","1.226714E-8","ASV0034","3.0","ASV0034","Core","false","ASV0034"
"34520.57","0.003197084","47.0","1.385357E-7","ASV0035","3.0","ASV0035","Core","false","ASV0035"
"1762.477","0.003099346","24.0","9.066031E-8","ASV0036","3.0","ASV0036","Core","false","ASV0036"
"0.0","0.002974253","2.0","2.827982E-18","ASV0037","39.0","ASV0037","Core","false","ASV0037"
"29204.89","0.002921752","45.0","2.079509E-7","ASV0038","3.0","ASV0038","Core","false","ASV0038"
"0.0","0.002745057","2.0","3.147706E-18","ASV0039","39.0","ASV0039","Core","false","ASV0039"
"1065.5","0.002902886","3.0","1.569008E-9","ASV0040","26.0","ASV0040","Core","false","ASV0040"
"12613.06","0.003113081","17.0","1.420098E-8","ASV0041","3.0","ASV0041","Other","false","ASV0041"
"0.0","0.002501628","3.0","3.239049E-9","ASV0042","22.0","ASV0042","Core","false","ASV0042"
"1065.5","0.002748593","3.0","1.569008E-9","ASV0043","26.0","ASV0043","Core","false","ASV0043"
"0.0","0.002855896","3.0","1.497369E-11","ASV0044","3.0","ASV0044","Shared","false","ASV0044"
"0.1428571","0.002919408","8.0","6.330314E-9","ASV0045","3.0","ASV0045","Core","false","ASV0045"
"6390.0","0.002357061","4.0","2.828257E-7","ASV0046","22.0","ASV0046","Other","false","ASV0046"
"0.0","0.002663808","4.0","6.032538E-10","ASV0047","3.0","ASV0047","Other","false","ASV0047"
"20.91938","0.002661211","19.0","1.080376E-7","ASV0048","3.0","ASV0048","Core","false","ASV0048"
"0.0","0.0025535","3.0","3.435244E-4","ASV0049","2.0","ASV0049","Shared","false","ASV0049"
"871.6644","0.002368135","20.0","8.754657E-8","ASV0050","3.0","ASV0050","Core","false","ASV0050"
"0.0","0.002801781","2.0","3.374425E-8","ASV0051","3.0","ASV0051","Other","false","ASV0051"
"871.6644","0.002187262","20.0","8.754657E-8","ASV0053","3.0","ASV0053","Core","false","ASV0053"
"1316.679","0.002777337","11.0","9.099291E-8","ASV0054","3.0","ASV0054","Other","false","ASV0054"
"3801.979","0.002559587","17.0","5.777204E-8","ASV0056","3.0","ASV0056","Core","false","ASV0056"
"0.0","0.002171263","5.0","2.576042E-7","ASV0057","11.0","ASV0057","Shared","false","ASV0057"
"10640.0","0.002334928","6.0","1.497939E-11","ASV0058","3.0","ASV0058","Shared","false","ASV0058"
"7564.083","0.002165866","8.0","4.668828E-10","ASV0059","3.0","ASV0059","Shared","false","ASV0059"
"1.0","0.001935859","5.0","4.81415E-4","ASV0060","2.0","ASV0060","Other","false","ASV0060"
"10736.91","0.001929633","10.0","2.951923E-7","ASV0061","3.0","ASV0061","Shared","false","ASV0061"
"4507.593","0.001875364","15.0","3.290776E-8","ASV0062","3.0","ASV0062","Shared","false","ASV0062"
"0.0","0.002020848","4.0","8.683213E-9","ASV0063","3.0","ASV0063","Core","false","ASV0063"
"11.10704","0.00191637","17.0","1.062493E-7","ASV0064","3.0","ASV0064","Core","false","ASV0064"
"1486.492","0.002163401","5.0","1.858928E-6","ASV0065","3.0","ASV0065","Other","false","ASV0065"
"547.9134","0.001807263","8.0","0.01211041","ASV0066","2.0","ASV0066","Shared","false","ASV0066"
"17953.23","0.001984805","10.0","8.555495E-10","ASV0067","3.0","ASV0067","Shared","false","ASV0067"
"97.17778","0.002437907","12.0","1.344903E-13","ASV0068","7.0","ASV0068","Shared","false","ASV0068"
"8520.0","0.002111774","3.0","5.931655E-11","ASV0069","4.0","ASV0069","Other","false","ASV0069"
"0.0","0.001796001","3.0","3.435244E-4","ASV0070","2.0","ASV0070","Other","false","ASV0070"
"0.0","0.001970974","1.0","1.747545E-18","ASV0071","65.0","ASV0071","Core","false","ASV0071"
"1601.348","0.001963476","30.0","2.118457E-7","ASV0072","3.0","ASV0072","Core","false","ASV0072"
"115.94","0.001805289","22.0","1.125437E-7","ASV0073","3.0","ASV0073","Core","false","ASV0073"
"650.2484","0.002013279","4.0","1.155024E-6","ASV0074","3.0","ASV0074","Other","false","ASV0074"
"0.0","0.001552214","3.0","3.239049E-9","ASV0075","22.0","ASV0075","Other","false","ASV0075"
"0.0","0.001838747","3.0","3.564353E-18","ASV0077","19.0","ASV0077","Core","false","ASV0077"
"0.0","0.001729493","1.0","1.073792E-6","ASV0078","2.0","ASV0078","Other","false","ASV0078"
"15582.82","0.001858261","22.0","6.072634E-8","ASV0079","3.0","ASV0079","Other","false","ASV0079"
"18129.79","0.001736987","18.0","6.078367E-6","ASV0080","3.0","ASV0080","Shared","false","ASV0080"
"0.0","0.001845781","1.0","1.726971E-18","ASV0081","65.0","ASV0081","Core","false","ASV0081"
"6834.902","0.001536422","12.0","2.843592E-7","ASV0082","3.0","ASV0082","Shared","false","ASV0082"
"1533.732","0.001841293","29.0","1.844067E-7","ASV0083","3.0","ASV0083","Core","false","ASV0083"
"5317.5","0.001613672","6.0","2.576681E-7","ASV0084","11.0","ASV0084","Shared","false","ASV0084"
"12.81303","0.001689293","19.0","1.100638E-7","ASV0085","3.0","ASV0085","Core","false","ASV0085"
"0.0","0.001552886","1.0","1.463771E-18","ASV0086","57.0","ASV0086","Core","false","ASV0086"
"1600.427","0.001567671","7.0","2.911136E-7","ASV0087","3.0","ASV0087","Shared","false","ASV0087"
"5317.5","0.00152716","6.0","2.576681E-7","ASV0088","11.0","ASV0088","Other","false","ASV0088"
"1166.614","0.001456808","9.0","0.005588433","ASV0089","2.0","ASV0089","Shared","false","ASV0089"
"709.6667","0.001646759","4.0","1.716199E-13","ASV0090","24.0","ASV0090","Shared","false","ASV0090"
"709.6667","0.001634101","4.0","1.716219E-13","ASV0091","24.0","ASV0091","Shared","false","ASV0091"
"6752.29","0.001490653","11.0","9.590843E-5","ASV0092","2.0","ASV0092","Other","false","ASV0092"
"2132.0","0.001721789","2.0","6.64195E-13","ASV0093","4.0","ASV0093","Other","false","ASV0093"
"383.6532","0.001482132","11.0","2.115793E-8","ASV0097","3.0","ASV0097","Core","false","ASV0097"
"4715.788","0.001282677","17.0","0.02461289","ASV0100","2.0","ASV0100","Other","false","ASV0100"
"9337.781","0.001562755","16.0","3.509365E-8","ASV0101","3.0","ASV0101","Core","false","ASV0101"
"1517.943","0.001396669","19.0","1.088224E-7","ASV0102","3.0","ASV0102","Core","false","ASV0102"
"17221.07","0.001522069","14.0","1.131566E-13","ASV0103","7.0","ASV0103","Shared","false","ASV0103"
"30618.72","0.001382118","28.0","4.347874E-7","ASV0104","3.0","ASV0104","Core","false","ASV0104"
"1285.087","0.001195677","7.0","2.459102E-7","ASV0105","3.0","ASV0105","Shared","false","ASV0105"
"7250.175","0.001290995","9.0","2.950234E-7","ASV0106","3.0","ASV0106","Shared","false","ASV0106"
"1352.522","0.001388109","10.0","1.145088E-8","ASV0107","3.0","ASV0107","Core","false","ASV0107"
"7295.226","0.00129559","8.0","3.233392E-7","ASV0108","3.0","ASV0108","Shared","false","ASV0108"
"436.7441","0.001305909","10.0","6.432765E-6","ASV0109","3.0","ASV0109","Shared","false","ASV0109"
"14936.3","0.001741667","14.0","1.91813E-12","ASV0110","7.0","ASV0110","Shared","false","ASV0110"
"0.0","0.001462067","2.0","2.020687E-18","ASV0112","44.0","ASV0112","Shared","false","ASV0112"
"3.985329","0.001191534","2.0","1.580977E-8","ASV0113","3.0","ASV0113","Shared","false","ASV0113"
"10086.76","0.001110204","14.0","2.521773E-7","ASV0114","3.0","ASV0114","Shared","false","ASV0114"
"12525.63","0.001609122","13.0","1.962779E-12","ASV0117","7.0","ASV0117","Shared","false","ASV0117"
"82.82068","0.001243843","20.0","1.117068E-7","ASV0118","3.0","ASV0118","Core","false","ASV0118"
"2334.511","0.001147637","10.0","2.344444E-8","ASV0119","3.0","ASV0119","Shared","false","ASV0119"
"0.0","0.001248082","3.0","3.388868E-18","ASV0120","19.0","ASV0120","Core","false","ASV0120"
"24231.85","0.001177084","25.0","6.232877E-6","ASV0121","3.0","ASV0121","Shared","false","ASV0121"
"6466.049","0.001072599","8.0","1.342577E-6","ASV0123","3.0","ASV0123","Other","false","ASV0123"
"2132.0","0.001299828","2.0","6.641957E-13","ASV0124","4.0","ASV0124","Other","false","ASV0124"
"17312.08","0.001115714","9.0","1.654742E-8","ASV0125","9.0","ASV0125","Shared","false","ASV0125"
"0.0","0.001164138","3.0","3.857782E-18","ASV0127","19.0","ASV0127","Core","false","ASV0127"
"39442.02","0.001001797","12.0","1.141117E-4","ASV0128","3.0","ASV0128","Other","false","ASV0128"
